years,population,number of calves,number of juveniles,number of Adult_males,number of Adult_females,number of Seniors
0,7000,522,1035,2620,2797,26,215
1,7000,618,1196,2487,2677,22,273
2,7000,920,1346,2282,2425,27,614
3,7000,683,1792,2169,2324,32,233
4,7000,714,1986,2061,2207,32,243
5,7000,693,2182,1969,2130,26,216
6,7000,669,2363,1895,2049,24,157
7,7000,619,2520,1838,1998,25,43
8,7000,626,2629,1797,1922,26,91
9,7000,635,2722,1746,1874,23,6
10,6949,573,2823,1709,1830,14,-51
11,6897,571,2852,1666,1786,22,-103
12,6863,582,2847,1639,1772,23,-137
13,6801,541,2867,1622,1756,15,-199
14,6770,550,2807,1640,1759,14,-230
15,6714,540,2752,1653,1750,19,-286
16,6663,540,2684,1658,1756,25,-337
17,6698,577,2633,1696,1767,25,-302
18,6684,535,2660,1689,1778,22,-316
19,6652,564,2605,1696,1772,15,-348
20,6649,562,2602,1692,1769,24,-351
21,6640,562,2580,1700,1771,27,-360
22,6667,583,2615,1689,1762,18,-333
23,6644,535,2644,1685,1765,15,-356
24,6654,539,2646,1690,1761,18,-346
25,6651,533,2645,1701,1750,22,-349
26,6635,573,2581,1708,1741,32,-365
27,6614,520,2618,1710,1741,25,-386
28,6624,545,2605,1716,1739,19,-376
29,6650,570,2596,1730,1738,16,-350
30,6628,532,2598,1730,1751,17,-372
31,6608,532,2588,1724,1744,20,-392
32,6625,550,2588,1726,1732,29,-375
33,6587,535,2553,1748,1728,23,-413
34,6593,542,2554,1755,1720,22,-407
35,6602,531,2570,1760,1717,24,-398
36,6617,564,2553,1763,1718,19,-383
37,6584,499,2591,1766,1703,25,-416
38,6591,549,2525,1781,1724,12,-409
39,6603,550,2533,1771,1730,19,-397
40,6618,543,2564,1777,1718,16,-382
41,6627,510,2614,1767,1718,18,-373
42,6638,529,2579,1782,1734,14,-362
43,6660,546,2581,1778,1741,14,-340
44,6653,548,2546,1785,1753,21,-347
45,6670,571,2530,1784,1767,18,-330
46,6665,542,2559,1794,1752,18,-335
47,6680,530,2571,1812,1742,25,-320
48,6628,533,2528,1814,1734,19,-372
49,6693,584,2519,1826,1753,11,-307
50,6721,518,2584,1831,1774,14,-279
51,6815,604,2545,1862,1794,10,-185
52,6810,534,2577,1882,1803,14,-190
53,6861,577,2562,1897,1815,10,-139
54,6910,577,2573,1923,1832,5,-90
55,7000,583,2602,1962,1848,5,28
56,7000,592,2586,1955,1863,4,92
57,7000,591,2564,1963,1880,2,71
58,7000,581,2567,1958,1892,2,82
59,7000,602,2575,1963,1855,5,159
60,7000,565,2605,1967,1858,5,30
61,7000,607,2596,1957,1830,10,91
62,7000,565,2655,1942,1812,26,45
63,6976,549,2664,1921,1818,24,-24
64,6926,540,2663,1909,1796,18,-74
65,6917,566,2659,1896,1774,22,-83
66,6893,535,2681,1899,1763,15,-107
67,6924,581,2640,1907,1772,24,-76
68,6894,529,2650,1915,1779,21,-106
69,6846,544,2592,1916,1777,17,-154
70,6932,602,2613,1921,1783,13,-68
71,6873,512,2635,1921,1786,19,-127
72,6872,555,2589,1923,1785,20,-128
73,6937,599,2604,1917,1797,20,-63
74,6930,575,2594,1926,1816,19,-70
75,6940,551,2629,1933,1803,24,-60
76,6963,574,2629,1927,1814,19,-37
77,6913,551,2622,1918,1808,14,-87
78,6993,582,2678,1912,1806,15,-7
79,6993,555,2693,1920,1815,10,-7
80,6994,560,2678,1925,1823,8,-6
81,7000,561,2674,1914,1833,18,15
82,7000,582,2656,1893,1852,17,26
83,7000,596,2650,1881,1862,11,37
84,7000,575,2651,1882,1878,14,5
85,7000,600,2659,1856,1874,11,78
86,7000,558,2690,1850,1882,20,2
87,7000,603,2661,1840,1877,19,35
88,7000,595,2671,1839,1880,15,51
89,7000,569,2710,1836,1871,14,67
90,7000,585,2733,1804,1855,23,79
91,7000,614,2753,1773,1847,13,72
92,7000,566,2803,1771,1842,18,34
93,7000,586,2770,1777,1855,12,8
94,7000,547,2795,1776,1867,15,0
95,7000,615,2734,1766,1867,18,59
96,6989,553,2769,1778,1871,18,-11
97,6981,592,2713,1801,1860,15,-19
98,6977,588,2717,1803,1862,7,-23
99,7000,595,2715,1812,1863,15,28
